ParentID,DataID,Name,Path,Level,CountOfItems,SizeOfAllVersions
9917760,10370369,ZXS1 - Ex SilentOne Content,Enterprise:xDepartment of Labour:ZXS1 - Ex SilentOne Content,3,17155,2214064198
45357185,45242147,Built Environment,Enterprise:xCERA:Built Environment,3,1941,1182263501
45357185,45901985,Economic,Enterprise:xCERA:Economic,3,12,0
45357185,45471777,Executive Management,Enterprise:xCERA:Executive Management,3,9,14882043
45357185,45476332,Leadership and Integration,Enterprise:xCERA:Leadership and Integration,3,12,0
45357185,45471794,Shared Services,Enterprise:xCERA:Shared Services,3,662,837029137
45357185,45905378,Social,Enterprise:xCERA:Social,3,30,4382780
4505909,4505910,Administration,Enterprise:xBuilding and Housing:Administration,3,1342,926325684
4505909,4505911,Building Quality and Standards,Enterprise:xBuilding and Housing:Building Quality and Standards,3,59805,104402745308
4505909,4505912,Communications,Enterprise:xBuilding and Housing:Communications,3,4688,2727245347
4505909,4505913,Financial Management,Enterprise:xBuilding and Housing:Financial Management,3,2099,1271889079
4505909,4505914,ICT,Enterprise:xBuilding and Housing:ICT,3,10997,14741310780
4505909,4505915,Information Management,Enterprise:xBuilding and Housing:Information Management,3,769,1226363839
4505909,4505916,Legal Advice,Enterprise:xBuilding and Housing:Legal Advice,3,9304,3302718663
4505909,4505917,Ministerial Servicing,Enterprise:xBuilding and Housing:Ministerial Servicing,3,42739,283785089380
4505909,4510419,Monitoring HNZC and Boards,Enterprise:xBuilding and Housing:Monitoring HNZC and Boards,3,1562,1048886491
4505909,4510420,Organisational Leadership,Enterprise:xBuilding and Housing:Organisational Leadership,3,1470,1039039639
4505909,4510421,Planning and Reporting,Enterprise:xBuilding and Housing:Planning and Reporting,3,4366,3187285857
4505909,4510422,Regulatory Schemes and Programmes,Enterprise:xBuilding and Housing:Regulatory Schemes and Programmes,3,84521,163214138284
4505909,4510424,Sector and Regulatory Policy,Enterprise:xBuilding and Housing:Sector and Regulatory Policy,3,18514,17387121791
4505909,4510423,Sector Capability and Performance,Enterprise:xBuilding and Housing:Sector Capability and Performance,3,12469,24585779785
4505909,4510425,Service Delivery,Enterprise:xBuilding and Housing:Service Delivery,3,123026,363313227547
4505909,4510426,Social Housing Unit,Enterprise:xBuilding and Housing:Social Housing Unit,3,6311,8484016016
4505909,4510427,Team Administration,Enterprise:xBuilding and Housing:Team Administration,3,10330,8064724208
4505909,4510428,"Trends Analysis, Research and Evaluation","Enterprise:xBuilding and Housing:Trends Analysis, Research and Evaluation",3,1293,5292222648
81163143,81166216,MAKO Workspace,Enterprise:Team Workspaces:MAKO Workspace,3,58,9817852
81163143,81159320,xECM Test Team Workspace,Enterprise:Team Workspaces:xECM Test Team Workspace,3,10,441953
25076392,25071177,Catalogued,Enterprise:Published Information:Catalogued,3,632,1462881043
25076392,29656976,Department of Labour (DOL) Publications,Enterprise:Published Information:Department of Labour (DOL) Publications,3,593,598966042
25076392,25074953,Digitised Collections,Enterprise:Published Information:Digitised Collections,3,651,4447667007
25076392,25602160,Former Agency Library Collections,Enterprise:Published Information:Former Agency Library Collections,3,2778,5559101424
25076392,52821605,Images,Enterprise:Published Information:Images,3,40,10381025
25076392,25069447,Journals,Enterprise:Published Information:Journals,3,543,3509062207
262745,6474438,Accident Compensation,"Enterprise:Policy Advice, Regulation and Standards:Accident Compensation",3,1140,820221926
262745,14546353,Building and Housing,"Enterprise:Policy Advice, Regulation and Standards:Building and Housing",3,7461,8695979746
262745,603109,Business and Regional Development Programmes,"Enterprise:Policy Advice, Regulation and Standards:Business and Regional Development Programmes",3,453,253503248
262745,255522,Business Law,"Enterprise:Policy Advice, Regulation and Standards:Business Law",3,2836,2946256746
262745,603111,Climate Change,"Enterprise:Policy Advice, Regulation and Standards:Climate Change",3,137,242936879
262745,255526,Competition Law,"Enterprise:Policy Advice, Regulation and Standards:Competition Law",3,1983,998867975
